CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2010034180,,4,2.0,,67,S,5,4,,,25.0,THIRD ST
2010113722,,6,1.0,,67,N,6,4,,,,FIFTH ST
2010122582,3.0,3,2.0,0.0,67,E,3,2,291.0,26.0,40.0,BARTRAM AV
2010081564,3.0,5,3.0,2056.0,67,S,3,2,6001.0,201.0,40.0,ROOSEVELT BL
2010114248,3.0,5,2.0,0.0,67,N,5,2,4007.0,10.0,25.0,CLARISSA ST
2010122384,3.0,4,2.0,1312.0,67,W,4,2,73.0,31.0,30.0,COTTMAN AV
2010074389,,3,1.0,,67,S,3,4,,,,TWELFTH ST
2010030184,1.0,3,4.0,1847.0,67,S,3,1,95.0,275.0,55.0,DELAWARE EX
2010088934,3.0,8,2.0,0.0,46,S,8,2,3045.0,11.0,35.0,BELMONT AV
2010070062,,3,2.0,,67,N,4,4,,,55.0,SIXTYSIXTH ST
2010020480,1.0,4,1.0,1890.0,67,W,4,2,8008.0,30.0,,RAMP RD
2010117765,3.0,3,3.0,1816.0,67,N,3,2,1009.0,130.0,25.0,BUSTLETON AV
2010099621,3.0,6,2.0,2133.0,67,S,6,2,1009.0,151.0,25.0,BUSTLETON AV
2010074874,,5,2.0,,67,N,5,4,,,25.0,SIXTEENTH ST
2010028304,3.0,3,2.0,1150.0,67,N,3,2,1007.0,50.0,35.0,TACONY ST
2010099816,3.0,3,2.0,305.0,67,S,3,2,4007.0,40.0,25.0,WAYNE AV
2010098686,3.0,3,2.0,606.0,67,E,3,2,291.0,16.0,40.0,BARTRAM AV
2010039242,3.0,4,2.0,0.0,67,S,4,2,4001.0,51.0,35.0,HENRY AV
2010112756,3.0,4,1.0,543.0,67,E,3,2,4006.0,10.0,35.0,CITY LINE LOWER BR
2010088892,3.0,3,3.0,750.0,67,S,3,2,6001.0,191.0,40.0,ROOSEVELT BL
2010088228,3.0,3,2.0,2238.0,67,S,3,2,1.0,41.0,35.0,CITY AV
2010093687,3.0,4,2.0,1768.0,67,S,4,2,1015.0,31.0,35.0,KNIGHTS RD
2010068372,1.0,3,4.0,1220.0,67,N,3,1,95.0,240.0,55.0,DELAWARE EX
2010058855,,3,2.0,,67,E,4,4,,,,PACKER AV
2010054902,3.0,3,2.0,2830.0,67,N,3,2,1.0,50.0,35.0,CITY AV
2010094215,,4,2.0,,67,E,4,4,,,25.0,NABISCO DR
2010044616,3.0,5,2.0,1283.0,67,S,5,2,1009.0,121.0,25.0,BUSTLETON AV
2010062329,,3,2.0,,67,E,3,4,,,,WOODLAND AV
2010117860,3.0,3,2.0,852.0,67,W,3,2,291.0,27.0,40.0,BARTRAM AV
2010121867,,3,2.0,,67,S,4,4,,,35.0,TWENTYTHIRD ST
2010105105,,4,2.0,,67,E,3,4,,,,TIOGA ST
2010106019,1.0,3,3.0,460.0,67,S,3,1,95.0,295.0,55.0,DELAWARE EX
