CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2008118993,99.0,9.0,7900 OLD YORK RD,STE 118A,ELKINS PARK,PA,19027,NOAH TOWING INC,9999999999.0,25500.0,,,,,N,,,,,,U,,,,,,,1,,5.0
2008126455,3.0,8.0,8467 ROUTE 17,,ROCKLAND ONTARIO,ON,K4K1K7,LEDUC BUS LINES LTD,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,00384162,11.0
2008047925,2.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,,11.0
2008057305,99.0,8.0,2905 ABBOTTSFORD AVE,,PHILADELPHIA,PA,99999,PHILLY TRANSPORT,9999999999.0,,,,,,N,,,,,,,,,,,,,1,,11.0
2008069630,3.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155807800.0,260000.0,,,,,N,,,,,,N,,,,,,,2,,11.0
2008071856,99.0,1.0,1401 HADDONFIELD RD,,CHERRY HILL,NJ,08034,RYDER TRUCK RENTAL,2159900983.0,,,,,,N,,,,,,N,,,,,,,1,,5.0
2008079297,99.0,9.0,100 S. BROAD ST.,,PHILADEPHIA,PA,99999,CITY OF PHILA,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,,99.0
2008081545,99.0,8.0,24 E 9TH,,MARCUS,PA,99999,WERTZ MOTOR COACHES INC,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008087907,99.0,8.0,UNKNOWN,,PHILADELPHITA,PA,99999,SEPTA,9999999999.0,999999.0,,,,,,,,,,,U,,,,,,,1,,11.0
2008098168,99.0,0.0,4100 S COUNCIL,,OKLAHOMA CITY,OK,99999,J & B HUNT TRANSPORT INC,9999999999.0,,,,,,,,,,,,N,,,,,,,1,,7.0
2008098377,99.0,9.0,2702 ROUTE 9,,RIO GRANDE,NJ,08242,RIO AUTO BODY SHOP,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,99.0
2009006882,99.0,9.0,UNKNOWN,,UNKNOWN,ZZ,999999999,UNKNOWN,9999999999.0,999999.0,,,,,,,,,,,U,,,,,,,1,,99.0
2009025379,99.0,9.0,1600 ARCH ST,,PHILADELPHIA,PA,19103,CITY OF PHILA,9999999999.0,34800.0,,,,,N,,,,,,U,,,,,,,3,,99.0
2008052202,99.0,8.0,350 N ST PAUL,,DALLAS,TX,75201,GREYHOUND LINES INC,9999999999.0,,,,,,N,,,,,,,,,,,,,1,,11.0
2008058968,99.0,1.0,8242 DORCAS ST,,PHILADELPHIA,PA,19152,GORAN KNEZEVIC,9999999999.0,,,,,,N,,,,,,U,,,,,,,1,,6.0
2008081452,5.0,3.0,975 POST RD NW,,WARREN TOWNSHIP,OH,444832083,JARO TRANSPORTATION SERVICES INC,9999999999.0,80000.0,,,,,N,,,,,,N,,,,,,,1,00292412,8.0
2008100961,99.0,1.0,177 LOUIE SMITH RD,,WILLIAMS,IN,47470,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,1,99999999,8.0
2008122855,99.0,8.0,1234 MARKET ST,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,U,,,,,,,1,,10.0
2008132796,3.0,1.0,901 N. KANSAS AVE.,,NORTH LIBERTY,IA,52317,HEARTLAND EXPRESS INC. OF IOWA,8008218310.0,80000.0,,,,,N,,,,,,N,,,,,,,1,00134697,8.0
2008132796,2.0,4.0,1704 MARNE HWY,,HAINESPORT,NJ,08036,ROBERT T. WINZINGER INC.,6092678600.0,80000.0,,,,,N,,,,,,N,,,,,,,2,00043304,3.0
2009013602,99.0,8.0,206 EDDYSTONE AVE,,EDDYSTONE,PA,19022,COMMUNITY TRANSIT OF DEL INC,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,10.0
2008040478,5.0,1.0,101 W WOODS DRIVE,,LITIZ,PA,17543,ROGER STEFFY,7179894572.0,800000.0,,,,,N,,,,,,N,,,,,,,1,00849119,8.0
2008046786,99.0,1.0,733 LOUISA FARMS LN,,BUMPASS,VA,23024,SEA BREEZE EXP,8044671055.0,52000.0,,,,,N,,,,,,,,,,,,,2,01351308,6.0
2008051605,99.0,8.0,3740 E THOMPSON STREET,,UNKNOWN,ZZ,999999999,ATLANTIC EXPRESS,9999999999.0,999999.0,,,,,N,,,,,,U,,,,,,,1,,11.0
2008066369,99.0,1.0,425 SCHOOL HOUSE RD,,TELFORD,PA,18969,CLEMMER MOVING AND STORAGE,9999999999.0,30000.0,,,,,N,,,,,,U,,,,,,,1,,99.0
2008075906,99.0,8.0,1234 MARKET STREET,,PHILADELPHIA,PA,99999,SEPTA,9999999999.0,999999.0,,,,,,,,,,,U,,,,,,,2,,11.0
2008081505,99.0,8.0,3101 ORTHODOX ST,,PHILADELPHIA,PA,19137,YELLOWBIRD BUS CO,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008098244,99.0,9.0,625 W RIDGE PIKE #A104,,CONSHOHOCKEN,PA,19428,CARSON CONCRETE CORP,9999999999.0,71040.0,,,,,,,,,,,U,,,,,,,1,,99.0
2008103653,99.0,1.0,1234 MRKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008122851,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008133511,2.0,8.0,3740 E THOMPSON ST,,PHILADELPHIA,PA,19137,ATLANTIC EXPRESS OF PA,9999999999.0,,,,,,N,,,,,,N,,,,,,,3,,11.0
2009030412,2.0,8.0,1234 MARKET ST,,PHILADELPHIA,PA,19107,SEPTA,2155806407.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2009036411,5.0,7.0,5109 BLEIGH AVE,,PHILADELPHIA,PA,19135,WB SERVICES,2156243197.0,800000.0,,,,,N,,,,,,N,,,,,,,1,01314641,8.0
2008051732,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,,,,,,,,1,,11.0
2008051793,2.0,8.0,UNKNOWN,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,26001.0,,,,,N,,,,,,N,,,,,,,1,,11.0
2008061192,2.0,8.0,1234 MARKET ST 14TH FL,14TH FL,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008081480,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008085834,2.0,2.0,7340 STATE ROAD,,PHILADELPHIA,PA,19136,NJP INC DBA FAMILY FUEL,2153333763.0,33000.0,3.0,,,,Y,1.0,,,,,N,,,,,,,1,,9.0
2008103107,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
