CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2022045967,99.0,1,2100 W 21ST STREET,,BROADVIEW,IL,60155,REAL TRUCKING INC,7089837325.0,080000,,,,,N,,,,,,,,,0.0,,,,2,01637762,8
2022045967,3.0,1,308 EVEGREEN FOREST BLVD AVENE,,AVENEL,NJ,07001,GURVINDER  S  KHINDA,9717193523.0,080000,,,,,N,,,,,,,,,0.0,,,,1,03309401,8
2022029567,3.0,1,24862 ELLIOT RD,,DEFIANCE,OH,43512,THOMAS E. KELLER INC.,4197844805.0,,,,,,N,,,,,,,99.0,,0.0,,,,2,00199521,8
2022029732,99.0,0,205 HAZEL ST,,LANCASTER,PA,17603,JEROME H RHOADS INC,9999999999.0,014000,,,,,N,,,,,,,,,0.0,,,,3,,2
2022016791,2.0,99,2723 S STATE ST 150,,ANN ARBOR,MI,48104,INFRASOURCE CONSTRUCTION,6107576700.0,999999,,,,,,,,,,,,,,0.0,,,,2,,99
2022079772,99.0,99,1608 BUTLER PK,,CONSHOHOCKEN,PA,19428,EVB SERVICE CENTER INC,9999999999.0,999999,,,,,,,,,,,,99.0,,0.0,,,,1,,99
2022037585,2.0,0,415 REBECCA STREET,,MCKEESPORT,PA,15132,LINCOLN BUS GROUP LLC,4126640911.0,,,,,,N,,,,,,,1.0,A-6423333,0.0,,,,2,00185303,12
2022109931,5.0,1,1435 RIVER,,MARIETTA,PA,17547,JAGTRUX,7174260195.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,2,00229355,8
2022116822,2.0,0,311 INDUSTRIAL PARK RD,,JOHNSTOWN,PA,15904,FIRST ENERGY,8145393200.0,,,,,,N,,,,,,,,,0.0,,,,2,00408529,0
2022007249,2.0,1,2433 NE 4TH ST,,HOMESTEAD,FL,33033,AP LOGISTICS,7865323582.0,,,,,,N,,,,,,,,,0.0,,,,1,03666187,3
2022095552,99.0,99,125 LEXINGTON AVE,,PATERSON,NJ,07502,SCORPION TRANSPORTATION,2017361865.0,080000,,,,,N,,,,,,,2.0,,0.0,,,,1,03860600,9
