CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2022062895,2022,1RF4956148,1,OH,RJRTS,2.0,1
2022121697,2022,1B9CS4525X,1,NJ,TTE58L,7.0,1
2022118114,2022,1ZE1EEV16S,1,NY,CF16613,8.0,2
2023005338,2022,1UYVS1284K,1,NE,265653,7.0,2
2022064570,2022,5JPBU1428G,1,PA,XKB2046,3.0,2
2022103195,2022,3H3V532C8K,1,TN,U831310,7.0,1
2022087189,2022,1RNF48A235,1,NC,AL63481,7.0,2
2022062332,2022,5ZT2FEPB0L,1,PA,XLT2894,5.0,1
2022118964,2022,LJRC54262A,1,OK,310-1GN,7.0,1
2022051799,2022,16V1U1115N,1,NJ,TYE50B,3.0,3
2022016231,2022,9999999999,1,ME,B966528,7.0,1
2022018032,2022,1UYVS2537F,1,KS,506143,7.0,1
2022086803,2022,1UYVS253XL,1,SD,U147837,7.0,1
2022056918,2022,53BPTCA23M,1,NJ,TXH52X,7.0,1
2022086821,2022,55LR1WA19E,1,PA,XKZ9640,3.0,1
2022119264,2022,1UYVS2536L,1,MO,04B964,6.0,1
2022012358,2022,9999999999,1,MO,36L9FU,6.0,2
2022026490,2022,541FD2126D,1,MD,148823X,3.0,2
2022118147,2022,1GRAA06216,1,FL,8016CZ,7.0,1
2022019496,2022,9999999999,1,PA,PT541JO,7.0,2
2022066090,2022,1L9HS2726D,1,PA,XGN9619,6.0,1
2022087189,2022,1JJV532D5P,1,IN,PA56988,7.0,1
2022071076,2022,1GRAA06275,1,PA,PT970L4,6.0,2
2022096424,2022,1MDARER18T,1,PA,XV56705,6.0,2
2022122906,2022,1JJV532W73,1,ME,5119846,7.0,1
2022118147,2022,DW1A5327YS,1,KY,83131T,7.0,2
2022083449,2022,3H3V532C3J,1,IN,P646693,7.0,1
2022121177,2022,1GRAA8025G,1,PA,PT173P5,7.0,2
2022050651,2022,822410,1,PA,XKA6598,3.0,1
2022095063,2022,5RVDL1429N,1,PA,XNV2312,6.0,2
2022071132,2022,3H3V532CXE,1,IL,498794ST,7.0,1
2022017267,2022,1JJV482B9E,1,NJ,TTV93B,7.0,2
2022087449,2022,1GRDM7621E,1,NJ,TMK33F,7.0,2
2022122820,2022,3H3V532C4K,1,KY,A89386,6.0,2
2022044323,2022,1GRAP062XK,1,TN,U853359,7.0,1
2022063807,2022,4YDT28023D,1,ME,234107E,5.0,2
2022107958,2022,1JJV532DXP,1,IN,PC10880,7.0,1
2022068790,2022,9999999999,1,OH,NL3388,7.0,1
2022068930,2022,1JJV532W47,1,TN,U985474,7.0,1
2022005080,2022,9999999999,1,IN,PA66785,7.0,1
2022057099,2022,99999999,1,ZZ,99999,6.0,1
2022088551,2022,J01939,1,PA,XFE9755,3.0,2
2022017289,2022,3C63RRJL8M,1,FL,QA52LN,6.0,1
2022032416,2022,1S9T04325F,1,PA,PT6878Z,7.0,2
2022119696,2022,3H3V281CXL,1,IN,P876049,7.0,1
2022088506,2022,9999999999,1,,,3.0,1
2022094748,2022,58CB3EL23N,1,PA,PT337M5,6.0,2
2022035433,2022,9999999999,1,PA,XLA8739,7.0,1
2022098974,2022,5VGFE533XJ,1,PA,PT752P3,6.0,1
2022015443,2022,,0,OH,TRX6557,7.0,1
2022021247,2022,9999999999,1,NJ,TLW69R,7.0,3
2022046950,2022,1GRAP062XG,1,IN,P433341,6.0,2
2022048407,2022,1PMS24520H,1,NJ,TVW24A,7.0,1
2022080162,2022,5VGFX1426N,1,PA,XNR0047,3.0,2
